# productId	printed
GL411610	NX-051
GL411611	NX-052
GL411612	NX-053
GL411613	NX-054
GL411614	NX-055
GL411615	NX-056
GL411616	NX-057
GL411617	NX-058
GL411618	NX-059
GL411619	NX-060
GL411620	NX-061
GL411621	NX-062
GL411622	NX-063
GL411623	NX-064
GL411624	NX-065
GL411625	NX-066
GL411626	NX-068
GL411627	NX-070
GL411628	NX-071
GL411629	NX-072
GL411630	NX-073
GL411631	NX-074
GL411632	NX-075
GL411633	NX-076
GL411634	NX-077
GL411635	NX-078
GL411636	NX-079
GL411637	NX-080
GL411638	NX-082
GL411639	NX-084
GL411640	NX-085
GL411641	NX-087
GL411642	NX-089
GL411643	NX-090
GL411644	NX-091
GL411645	NX-092
GL411646	NX-093
GL411647	NX-094
GL411648	NX-095
GL411649	NX-096
GL411650	NX-097
GL411651	NX-098
GL411652	NX-099
GL411653	NX-100
GL411654	NX-101
GL411655	NX-102
GL411656	NX-103
GL411657	NX-104
GL411658	NX-105
GL411659	NX-106
GL411660	NX-107
GL411661	NX-108
GL411662	NX-109
GL411663	NX-110
GL411664	NX-111
GL411665	NX-112
GL411666	NX-113
GL411667	NX-114
GL411668	NX-115
GL411669	NX-116
GL411670	NX-117
GL411671	NX-118
GL411672	NX-119
GL411673	NX-120
GL411674	NX-121
GL411675	NX-122
GL411676	NX-123
GL411677	NX-124
GL411678	NX-125
GL411679	NX-126
GL411680	NX-127
GL411681	NX-128
GL411682	NX-129
GL411683	NX-130
GL411684	NX-131
GL411685	NX-132
GL411686	NX-133
GL411687	NX-134
GL411688	NX-135
GL411689	NX-136
GL411690	NX-137
GL411691	NX-138
GL411692	NX-139
GL411693	NX-140
GL411694	NX-141
GL411695	NX-143
GL411696	NX-144
GL411697	NX-146
GL411698	NX-147
GL411699	NX-148
GL411700	NX-150
GL411701	NX-151
GL411702	NX-152
GL411703	NX-154
GL411704	NX-156
GL411705	NX-159
GL411706	NX-163
GL411707	NX-164
GL411708	NX-165
GL411709	NX-167
GL411710	NX-168
GL411711	NX-169
GL411712	NX-171
GL411713	NX-174
GL411714	NX-175
GL411715	NX-177
GL411716	NX-178
GL411717	NX-179
GL411718	NX-181
GL411719	NX-182
GL411720	NX-185
GL411721	NX-186
GL411722	NX-187
GL411723	NX-188
GL411725	NX-204
GL411726	NX-222
GL411727	NX-223
GL411728	NX-235
GL411729	NX-238
GL411730	NX-239
GL411731	NX-242
GL411732	NX-244
GL411733	NX-245
GL411734	NX-248
GL411735	NX-249
GL411736	NX-250
GL411737	NX-256
GL411738	NX-258
GL411739	NX-259
GL411740	NX-263
GL411741	NX-264
GL411742	NX-270
GL411743	NX-271
GL411744	NX-272
GL411745	NX-273
GL411746	NX-276
GL411747	NX-284
GL411748	NX-289
GL411749	NX-290
GL411750	NX-291
GL411751	NX-296
GL411752	NX-303
GL411753	NF-002
GL411754	NF-004
GL411755	NF-008
GL411756	NF-010
GL411757	NF-014
GL411758	NF-015
GL411759	NF-017
GL411760	NF-019
GL411761	NF-022
GL411762	NF-024
GL411763	NF-025
GL411764	NF-026
GL411765	NF-027
GL411766	NF-028
GL411767	NF-029
GL411768	NF-032
GL411769	NF-033
GL411770	NF-034
GL411771	NF-035
GL411772	NF-036
GL411773	NF-037
GL411774	NF-043
GL411775	NF-047
GL411776	NF-059
GL411777	NF-061
GL411778	NF-065
GL411779	NF-070
GL411780	NF-075
GL411781	NF-077
GL411782	NF-079
GL411783	NF-080
GL411784	NF-081
GL411785	NF-083
GL411786	NF-084
GL411787	NF-085
GL411788	NF-086
GL411789	NF-093
GL411790	NF-095
GL411791	NF-098
GL411792	NF-099
GL411793	NFP-014
GL411794	NF-198
GL411795	NF-199
GL411796	NF-200
GL411797	NF-203
GL411798	NF-204
GL411799	NF-211
GL411800	NF-213
GL411801	NF-214
GL411802	NF-215
GL411803	NF-217
GL411804	NF-222
GL411805	NF-223
GL411806	NF-229
GL411807	NF-230
GL411808	NF-233
GL411809	NF-235
GL411810	NF-258
GL411811	NF-276
GL411812	NF-283
GL411813	NF-286
GL411814	NF-287
GL411815	NF-288
GL411816	NFF-008
GL411817	NFC-016
GL411818	NFM-004
GL411819	NFM-005
GL731002	NF-067
GL731003	NF-068
GL731006	NF-114
GL731008	NF-209
GL731009	NF-258
GN422634	NX-231
GN843757	NXP-002
GU167186	NFP-009
GU448764	NXP-009
GU608648	NF-247
GU613870	NF-331
GU613871	NX-033
GU613872	NX-067
GU613873	NX-069
GU613874	NX-083
GU613875	NX-086
GU613876	NX-088
GU613877	NX-142
GU613878	NX-145
GU613879	NX-149
GU613880	NX-153
GU613881	NX-155
GU613882	NX-157
GU613883	NX-158
GU613884	NX-160
GU613885	NX-161
GU613886	NX-162
GU613887	NX-166
GU613888	NX-170
GU613889	NX-173
GU613890	NX-176
GU613891	NX-184
GU613892	NX-189
GU613893	NX-192
GU613894	NX-193
GU613895	NX-198
GU613896	NX-201
GU613898	NX-203
GU613899	NX-207
GU613900	NX-215
GU613901	NX-219
GU613902	NX-220
GU613903	NX-224
GU613904	NX-229
GU613905	NX-237
GU613906	NX-243
GU613907	NX-260
GU613908	NX-261
GU613909	NX-266
GU613910	NX-269
GU613911	NX-274
GU613912	NX-275
GU613913	NX-279
GU613914	NX-292
GU613915	NX-316
GU743791	VJCF-2009
GU757663	NX-034
GU757664	NX-202
GU757665	NX-213
GU762306	NF-012
GU774057	NF-225
GU774058	NF-239
GU782596	NF-262
GU782597	NF-303
GU819525	NX-236
